,tag,m_count,m_freq,f_count,f_freq
168,decide_VERB,814,0.0005847583525618738,513,0.000519252317150813
169,page_SUBST,810,0.0005818848471438793,431,0.00043625292142690134
170,british_ADJ,807,0.0005797297180803834,360,0.0003643875909830266
171,front_SUBST,796,0.0005718275781808987,521,0.000527349819172658
172,along_ADV,794,0.0005703908254719014,411,0.00041600916637228873
173,break_VERB,768,0.0005517130402549374,456,0.00046155761524516707
174,late_ADJ,768,0.0005517130402549374,554,0.0005607520150127688
175,listen_VERB,759,0.0005452476530644499,973,0.0009848586834069026
176,early_ADJ,756,0.000543092524000954,409,0.0004139847908668275
177,early_ADJ,756,0.000543092524000954,353,0.00035730227671391224
178,early_ADV,633,0.0004547322323976242,409,0.0004139847908668275
179,early_ADV,633,0.0004547322323976242,353,0.00035730227671391224
180,health_SUBST,754,0.0005416557712919568,344,0.00034819258693933653
181,open_ADJ,753,0.0005409373949374582,582,0.0005890932720892264
